,.05%,5%,95%,99.5%
0,-151.3848307495422,18.208351325769982,387.8369586645418,405.3065785802977
1,532.4642985834657,558.6586437684964,667.1400954974927,702.9447267783002
4,686.463324955198,719.2834117278846,1057.3544543184466,1288.0476327321003
9,800.3591559126188,875.1321757823596,1638.5483280299131,2303.0402823089116
49,1174.1544208921798,1310.5750575449583,5287.636290213607,10519.837994392397
99,1304.5020766420812,1553.9521138111497,9043.157568126855,20891.46816872861
199,1427.6231613408097,1824.952368996951,15685.0738653728,41778.740752870806
499,1664.5174034412962,2304.8300434626526,33422.94037217373,105247.48836665683
